Name,Level,Date Hired,Pay,Job Position,Date Departed

Avelina Dawson,Supervisor,2010-02-21,"$120,000.00 ",Senior Web Liason,

Avelina Estes,Associate,2019-09-04,"$80,000.00 ",Relational Impact Engineer,2017-05-14

Avelina Hale,Supervisor,2017-05-05,"$132,000.00 ",Senior Research Associate,2018-06-30

Beth Dawson,Supervisor,2016-02-21,"$122,000.00 ",Internal Intranet Associate,

Beth Howe,Supervisor,2010-09-14,"$128,000.00 ",Lead Group Associate,

Beth Park,Associate,2014-08-03,"$82,000.00 ",Dynamic Marketing Producer,

Beth Reese,Associate,2010-01-07,"$86,000.00 ",Relational Factors Associate,

Beth Welch,Supervisor,2010-01-07,"$122,000.00 ",Regional Intranet Officer,

Beth Welch,Associate,2019-07-13,"$87,000.00 ",Internal Implementation Associate,

Beth Wilcox,Associate,2019-03-03,"$86,000.00 ",Dynamic Intranet Engineer,

Cami Perkins,Associate,2018-07-11,"$80,000.00 ",International Team Strategist,2017-05-14

Cami Reynolds,Supervisor,2017-07-15,"$121,000.00 ",Chief Optimization Planner,

Chanel Wilcox,Executive,2010-10-06,"$220,000.00 ",Legacy Program Director,

Chanel Wood,Associate,2014-02-13,"$82,000.00 ",Customer Resonance Analyst,

Cherryl Perkins,Associate,2008-08-20,"$86,000.00 ",Central Ideation Facilitator,

Cherryl Thompson,Associate,2008-05-10,"$84,000.00 ",Principal Markets Liason,

Ermelinda Dixon,Associate,2014-04-18,"$85,000.00 ",Dynamic Response Developer,

Ermelinda Hodge,Associate,2019-02-21,"$84,000.00 ",Legacy Paradigm Designer,

Ermelinda Hodge,Associate,2019-10-08,"$85,000.00 ",Future Integration Coordinator,

Fleta Arellano,Supervisor,2014-06-05,"$128,000.00 ",National Assurance Agent,

Fleta Mayo,Executive,2019-10-05,"$218,000.00 ",Regional Implementation Director,

Fleta Thompson,Executive,2010-06-04,"$200,000.00 ",Chief Assurance Analyst,

Isaura Hale,Supervisor,2016-10-07,"$125,000.00 ",Investor Optimization Associate,

Isaura Keith,Executive,2010-05-16,"$220,000.00 ",International Configuration Designer,

Isaura Thompson,Associate,2016-01-08,"$82,000.00 ",Chief Optimization Coordinator,

Isaura Watkins,Associate,2014-10-19,"$83,000.00 ",District Marketing Producer,

Isaura Wilcox,Associate,2015-01-20,"$82,000.00 ",Forward Branding Assistant,

Janee Hodge,Supervisor,2017-07-09,"$126,000.00 ",Regional Optimization Officer,

Janee Holloway,Supervisor,2018-04-06,"$126,000.00 ",Product Metrics Engineer,

Janee Howe,Associate,2015-05-12,"$88,000.00 ",Principal Interactions Developer,

Janee Mcbride,Associate,2016-09-21,"$81,000.00 ",Principal Accountability Producer,

Janee Mcbride,Supervisor,2008-07-15,"$124,000.00 ",Legacy Assurance Orchestrator,

